file,name,color,name2
Gviz/121_ipsc_0_8738-1_na.25bp_track_data.bw,121 ipsc 0 8738-1 na,#EFE90D,ipsc 0  na
Gviz/107_whole_25_2242-1_pallial.25bp_track_data.bw,107 whole 25 2242-1 pallial,#F9DAFF,whole 25 pallial
Gviz/278_whole_46_8738-1_pallial.25bp_track_data.bw,278 whole 46 8738-1 pallial,#F2B9FF,whole 46 pallial
Gviz/005_neuron_79_8738-1_pallial.25bp_track_data.bw,005 neuron 79 8738-1 pallial,#E181F4,neuron 79 pallial
Gviz/274_neuron_206_8738-1_pallial.25bp_track_data.bw,274 neuron 206 8738-1 pallial,#CB21ED,neuron 206 pallial
Gviz/202_neuron_532_8738-1_pallial.25bp_track_data.bw,202 neuron 532 8738-1 pallial,#9404B4,neuron 532 pallial
Gviz/114_whole_25_8738-1_subpallial.25bp_track_data.bw,114 whole 25 8738-1 subpallial,#D1E8BA,whole 25 subpallial
Gviz/286_whole_59_2788-1_subpallial.25bp_track_data.bw,286 whole 59 2788-1 subpallial,#B0E57C,whole 59 subpallial
Gviz/006_neuron_79_8738-1_subpallial.25bp_track_data.bw,006 neuron 79 8738-1 subpallial,#7DCD2C,neuron 79 subpallial
Gviz/214_neuron_394_2242-1_subpallial.25bp_track_data.bw,214 neuron 394 2242-1 subpallial,#4C9006,neuron 394 subpallial
Gviz/037_astrocyte_104_8738-1_pallial.25bp_track_data.bw,037 astrocyte 104 8738-1 pallial,#F6D7B5,astrocyte 104 pallial
Gviz/276_astrocyte_206_8738-1_pallial.25bp_track_data.bw,276 astrocyte 206 8738-1 pallial,#F2A760,astrocyte 206 pallial
Gviz/203_astrocyte_532_8738-1_pallial.25bp_track_data.bw,203 astrocyte 532 8738-1 pallial,#DC7511,astrocyte 532 pallial
